tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
iLipidDyn,35860415,10.1016/j.csbj.2022.06.054,https://github.com/ELELAB/LipidDyn,,d8072c01f80809f82b4bcd14c71635b3ac679fb8
TADA,38060257,10.1093/bioinformatics/btad742,https://github.com/emilhaegglund/TADA,,ca5918682c502a84c2bebb7fdbfc5b56cd3cf68f
Peptimetric,36303760,10.3389/fbinf.2021.722466,https://github.com/ErikHartman/peptimetric,,578c7631d3cc978a5e22af7934fbacc7ac75b0d5
MkVsites,32282082,10.1002/jcc.26198,https://github.com/ErikMarklund/mkvsites,,3878974cc9f744adfad2488470b5c1fc8ef48b2e
ComplexTome,39276156,10.1093/bioinformatics/btae552,https://github.com/farmeh/ComplexTome_extraction,,12a4c9c1b6054df39b91c9d3f8efff3f440e4dde
FlexTaxD,34469515,,https://github.com/FOI-Bioinformatics/flextaxd,,6573d29bad4d0673ff9b2f4665c0e9aaff454a49
SARS-CoV-2,32790776,10.1371/journal.ppat.1008643,https://github.com/galaxyproject/SARS-CoV-2,,80016ca42cf3340e19bdc4b8107d43139c7350a0
SpanSeq,39157582,10.1093/nargab/lqae106,https://github.com/genomicepidemiology/SpanSeq,,9025dceb9d0ab10a92eab50cb557a4626ef34a1b
geckopy,37931133,10.1128/spectrum.01705-23,https://github.com/ginkgobioworks/geckopy,,483936200ff0090bcea09944f882549f61c9fe3f
ArcTiCA,38310137,10.1038/s41597-024-03012-w,https://github.com/hart-davis/ARCTiCA/,,850b945f83a6549a120a9d9a08db7cd860a0ec1a
PyAMARES,39682576,10.3390/diagnostics14232668,https://github.com/HawkMRS/pyAMARES,,145f817d28cd387a25ef8abc6a9c6e236dd2696b
EagleImp,36130053,10.1093/bioinformatics/btac637,https://github.com/ikmb/eagleimp,,d06903d588ad302c6fd93d533f9b149a7cff6ca4
OmicsVolcano,33532728,10.1016/j.xpro.2020.100279,https://github.com/IrinaVKuznetsova/OmicsVolcano,,58379cfa5aea5b06df44e186942b7a319dcd6352
vcfgl,40045175,10.1093/bioinformatics/btaf098,https://github.com/isinaltinkaya/vcfgl,,da6a334609d8dfaca59034db6a80d158d4c4cb9b
